powertrain,nhts2017_make,nhts2017_model,MY,avgmilesperage,BESTMILE,n,avg_survey_wt
PHEV,Ford,Fusion,2010,8125,9814.580433,1,605.0067857
PHEV,Ford,I don't know,2015,4666.666667,5025.358205,1,15133.51313
PHEV,Ford,Unknown (automobile),2017,4000,9339.087952,1,89.03221456
PHEV,Honda,"Civic/CRX, del Sol",2006,8166.666667,3759.375596,1,2619.089974
PHEV,Honda,"Civic/CRX, del Sol",2010,8750,7649.702505,1,151.454327
PHEV,Hyundai,Sonata,2016,8922,4553.318245,1,540.4266194
PHEV,Hyundai,Sonata,2017,3700,3669.882221,1,142.4276086
PHEV,Lexus,CT 200h,2014,10763.5,8832.615723,1,425.2878038
PHEV,Lexus,RX330/350/400h/450h,2009,8222.222222,9776.950365,1,419.8268325
PHEV,Nissan/Datsun,Altima,2010,5969.75,2274.340917,1,375.6488446
PHEV,Nissan/Datsun,Leaf,2014,6687.5,17518.4737,1,800.219355
PHEV,Nissan/Datsun,Leaf,2015,3333.333333,7864.656045,1,726.2385939
PHEV,Nissan/Datsun,Leaf,2016,2000,3424.376505,1,512.1691867
PHEV,Nissan/Datsun,Leaf,2017,11075,3258.587886,1,3843.536279
PHEV,Other,Other (vehicle),2013,240,650,1,197.4399999
PHEV,Other Domestic,Suppressed for confidential reason,2017,13000,25128.2755,1,595.3047395
PHEV,Other Domestic,Tesla,2014,4125,2940.217503,1,106.2243715
PHEV,Other Domestic,Tesla,2015,3605,6573.738087,1,816.4875987
PHEV,Other Domestic,Tesla,2017,3000,11388.20391,1,72.64842828
PHEV,Toyota,Camry,2009,15666.66667,43569.65944,1,957.3052525
PHEV,Toyota,Prius,2006,13908.75,5230.814311,1,302.0960788
PHEV,Toyota,Prius,2008,18687.6,12321.2323,1,266.1284601
PHEV,Toyota,Prius,2010,8887.125,10536.70231,1,142.9234007
PHEV,Toyota,Prius,2011,15142.85714,7814.324758,1,173.7806759
PHEV,Toyota,Prius,2012,6374.5,25357.71699,1,268.9942244
PHEV,Toyota,RAV4,2004,5094.428571,4682.482524,1,83.9178961
BEV,BMW,1-Series,2014,1527.5,2345.250447,1,236.1595886
BEV,Chevrolet,Volt,2013,8000,12037.49086,1,364.498813
BEV,Chevrolet,Volt,2014,4175,6436.910557,1,266.0737908
BEV,Chevrolet,Volt,2017,6074,12875.92572,1,53.58883243
BEV,Fiat,Suppressed for confidential reason,2017,300,5803.782012,1,592.8540909
BEV,Ford,Focus,2014,6306.25,23808.21229,1,3025.317725
BEV,Ford,Focus,2015,3333.333333,4869.128625,1,33.09040498
BEV,Ford,Focus,2016,1200,1283.19457,1,42.14986232
BEV,Ford,Focus,2017,843,502.1076329,1,844.7952803
BEV,Ford,Fusion,2014,6250,4992.096452,1,1366.247673
BEV,Ford,Suppressed for confidential reason,2010,149.5,100,1,702.4545691
BEV,Honda,Accord,2015,11000,8254.317261,1,702.9009125
BEV,Honda,Fit,2014,1756,5501.385864,1,354.9400322
BEV,Honda,Suppressed for confidential reason,2012,1368.333333,128.010708,1,63.9892134
BEV,I don't know,I don't know,2014,4250,669.2155448,1,241.1259334
BEV,I don't know,Suppressed for confidential reason,2009,1432.111111,2500,1,374.5012721
BEV,Lexus,IS-250/300/350/500,2008,10000,2414.409811,1,1008.771682
BEV,Lexus,Suppressed for confidential reason,2004,4214.285714,3056.356474,1,108.1511851
BEV,Lincoln,Zephyr/MKZ,2017,9828,12220.40714,1,8295.050233
BEV,Mercedes Benz,Suppressed for confidential reason,2017,1299,4633.310155,1,1033.899037
BEV,Other,I don't know,2017,852,1278,1,85.49433733
BEV,Other,Other (vehicle),2003,198.8,200,1,44.85987574
BEV,Other,Other (vehicle),2005,341.3076923,2000,1,46.2072456
BEV,Other,Suppressed for confidential reason,1999,173.6842105,146.2696287,1,51.11484499
BEV,Other,Suppressed for confidential reason,2003,1098.133333,1592.186521,1,150.6020346
BEV,Other,Suppressed for confidential reason,2009,835.3333333,2500,1,1885.51085
BEV,Other,Suppressed for confidential reason,2010,250,300,1,46.12931692
BEV,Other,Suppressed for confidential reason,2013,700,2774.093592,1,102.3537621
BEV,Other,Unknown cc,2008,1000,2000,1,52.13146107
BEV,Other,Unknown cc,2014,994.75,1500,1,106.7897307
BEV,Other,Unknown cc,2015,728.6666667,4372,1,106.7897307
BEV,Other,Unknown cc,2017,60,120,1,663.9667505
BEV,Other Domestic,I don't know,2017,7850,38152.9533,1,303.0663306
BEV,Other Domestic,Tesla,2006,3333.333333,3802.905095,1,291.9183686
BEV,Porsche,986/Boxster,2017,750,9951.118958,1,1721.815589
BEV,Smart,Fortwo,2009,111.5555556,108.1269336,1,181.3135188
BEV,Smart,Fortwo,2016,1677.5,5751.428571,1,106.7897307
BEV,Smart,Suppressed for confidential reason,2013,700,1187.053643,1,376.502302
BEV,Suppressed for confidential reason,Suppressed for confidential reason,2012,12.66666667,13.56994733,1,80.86925231
BEV,Toyota,Camry,2014,13250,16224.06184,1,702.9009125
BEV,Toyota,Prius,2006,12500,2.721416834,1,15.26200722
BEV,Toyota,RAV4,2014,4505.5,3514.460668,1,36.07683724
BEV,Toyota,RAV4,2015,4333.333333,11324.83126,1,214.6956636
BEV,Unknown,I don't know,2002,437.5,100,1,494.5767458
BEV,Unknown,I don't know,2016,100,15,1,36.72704191
BEV,Unknown,Suppressed for confidential reason,2011,22.42857143,22.63182817,1,28.17084048
BEV,Unknown,Suppressed for confidential reason,2016,5000,9083.967261,1,471.0028884
BEV,Unknown,Suppressed for confidential reason,2017,80,192,1,663.9667505
