age_months,powertrain,vehicle_type,miles25,miles50,miles75
20,phev,car,7725,13890,21959
21,bev,car,5399,10001,15657
21,bev,suv,4900,9539,14880.5
21,conventional,car,14882,27748.5,39321
21,conventional,pickup,11550.25,18009.5,26565
21,conventional,suv,13698,23000,35091.25
21,hybrid,car,16952,29270,38287.5
21,hybrid,suv,10706,15886.5,23322
21,phev,car,8866.75,14561.5,23126.75
22,bev,car,6385,11762,18075
22,bev,suv,6031.75,10450,16799.5
22,conventional,car,15832,29369,40527
22,conventional,pickup,12188,19042.5,27928
22,conventional,suv,14613.5,24252,36654
22,hybrid,car,17379,30137,39440
22,hybrid,suv,10965.5,16384,24118.25
22,phev,car,10548.5,17771,25263.75
23,bev,car,7006,12269,18579.5
23,bev,suv,5856.25,10081,15656.25
23,conventional,car,16835.25,30831,41185
23,conventional,pickup,13212,20281,29323.25
23,conventional,suv,15632,25467,37961
23,hybrid,car,17612.25,30592.5,40039
23,hybrid,suv,12714.75,18173,25514
23,phev,car,10571,17790,25681
24,bev,car,7392.25,12618.5,19504.75
24,bev,suv,6378.75,11405.5,17876
24,conventional,car,17927.75,31797,41425
24,conventional,pickup,14170,21530,30748.5
24,conventional,suv,16208,25870,38177
24,hybrid,car,18418,31813,40894.5
24,hybrid,suv,12730.5,19473,27227.5
24,phev,car,11602.25,18863,28676.25
25,bev,car,8629,14376.5,21001.25
25,bev,suv,6870,12606,19244
25,conventional,car,18476,32000,41718
25,conventional,pickup,15275.25,22888,32294
25,conventional,suv,17000,26504,38607
25,hybrid,car,18835.5,31326,41549
25,hybrid,suv,13413,19858.5,28493.75
25,phev,car,11890,19493.5,29002
26,bev,car,9006,14998,21816
26,bev,suv,8878,15363,22648
26,conventional,car,19421,32986,42398
26,conventional,pickup,16277,24000,33541.5
26,conventional,suv,17735.75,27240,39679
26,hybrid,car,19359.75,32029.5,42125
26,hybrid,suv,14137,21809,30430
26,phev,car,12880.25,20678.5,30238
27,bev,car,8363,14403,21594
27,bev,suv,8204.5,13891.5,20891.25
27,conventional,car,19330,32007,42325
27,conventional,pickup,17156,24934,35000
27,conventional,suv,18102,27393,39981.75
27,hybrid,car,19205.5,30887.5,42254.75
27,hybrid,suv,14789.5,21552,30236.5
27,phev,car,13889.75,22521.5,31252.5
28,bev,car,9686.75,15117,21724.5
28,bev,suv,6656.5,10471,17407.75
28,conventional,car,19374,31003,41638
28,conventional,pickup,17765.75,25471,35106
28,conventional,suv,18532.5,27284,38301
28,hybrid,car,19096.5,30495,42156
28,hybrid,suv,16213.25,23633.5,32378.75
28,phev,car,15338.75,23781.5,33872.75
29,bev,car,9773.5,15494,21788.5
29,bev,suv,6845.75,13131,19325.25
29,conventional,car,19647,30781,41578
29,conventional,pickup,18544,26349,36395
29,conventional,suv,19066,27750,38422
29,hybrid,car,19478.5,29997,42421.75
29,hybrid,suv,17747,24925,34418.5
29,phev,car,17136,25401,34411
30,bev,car,10024.75,15814,22732.5
30,bev,suv,9113,15095,22522.5
30,conventional,car,19787,30422,41671
30,conventional,pickup,19052,27088,37319.25
30,conventional,suv,19634,28311,38852
30,hybrid,car,19940.75,30000,42991.75
30,hybrid,suv,18780,25763,35878.25
30,phev,car,17628.5,26439,35319
31,bev,car,10778.5,17114.5,23962.75
31,bev,suv,9320.75,14831,22951.5
31,conventional,car,20038,30371,41837
31,conventional,pickup,19754,28088,38595
31,conventional,suv,20172,29000,39371
31,hybrid,car,20143,29967,43653
31,hybrid,suv,19930.5,27334,36211.5
31,phev,car,19403,27794.5,36003
32,bev,car,11926.5,18416.5,25934.75
32,bev,suv,10292,16110,23489
32,conventional,car,20480,30600,42200
32,conventional,pickup,20414,29000,40010
32,conventional,suv,21000,29779,40009.75
32,hybrid,car,20405,30326,44027
32,hybrid,suv,20462.5,29255,38374
32,phev,car,20660.75,28399.5,36590
33,bev,car,12808,18590,25686
33,bev,suv,11000,16854,26457
33,conventional,car,20944,30902,42411.25
33,conventional,pickup,21271,30000.5,41360.75
33,conventional,suv,21692.75,30274,40455
33,hybrid,car,20975.5,30488,43311.5
33,hybrid,suv,20784.5,28342,37579.5
33,phev,car,20473,28909,37498
34,bev,car,13602,19710,27393
34,bev,suv,11954.5,16834,25457
34,conventional,car,21515,31332,42853
34,conventional,pickup,21891,30876,42500
34,conventional,suv,22439,31002,41104
34,hybrid,car,21817,31457,44317
34,hybrid,suv,21477,29441,38533
34,phev,car,21321,30235,38576.5
35,bev,car,14250,20196,27687
35,bev,suv,10967.5,17183.5,24715
35,conventional,car,21990.25,31518,42971
35,conventional,pickup,22820,31943,43867
35,conventional,suv,23110,31628,41628
35,hybrid,car,22409.75,32181,44412
35,hybrid,suv,22553.25,31673.5,40403.75
35,phev,car,22092,30073,38330
36,bev,car,13731,20000,27385
36,bev,suv,11707.5,18073,26410
36,conventional,car,22498,31903,43014.25
36,conventional,pickup,23704,32956.5,45171.75
36,conventional,suv,23765.75,32132,42084
36,hybrid,car,22760,32423,44427.5
36,hybrid,suv,23392.5,31525,40024.5
36,phev,car,23264,31189,39698
37,bev,car,14539.5,21214,29265
37,bev,suv,13271.75,19755,27821.25
37,conventional,car,23170,32596,43997
37,conventional,pickup,24640,34197,46796
37,conventional,suv,24410,32869,43021
37,hybrid,car,23202.25,32650.5,44735.25
37,hybrid,suv,23913,31763,41684.75
37,phev,car,23721.5,31780,40073
38,bev,car,15461.5,22248,29996
38,bev,suv,14123.75,20952,30162
38,conventional,car,23669,32916,44361
38,conventional,pickup,25425,34979,47912
38,conventional,suv,24849,33190,43545
38,hybrid,car,24000,33226.5,45257.75
38,hybrid,suv,25114,32741,41380.5
38,phev,car,24000,31714,40000
39,bev,car,16201.75,22831.5,31155.75
39,bev,suv,13818.5,21350,30154
39,conventional,car,23717,32864,44274
39,conventional,pickup,26155,35747,49000
39,conventional,suv,24995,33299,43687
39,hybrid,car,24467.75,33655.5,45231
39,hybrid,suv,25490,33585,43899
39,phev,car,24601,32363,40895.5
40,bev,car,16438.25,23247.5,31439.5
40,bev,suv,19384.25,26942,35596
40,conventional,car,23916,32910,43937
40,conventional,pickup,27130,36499,50000
40,conventional,suv,25541,33762,43973
40,hybrid,car,24909,34000,45932
40,hybrid,suv,24950,33000,42145
40,phev,car,24892.75,32493.5,40994.25
41,bev,car,16305,23125.5,31000
41,bev,suv,19986,28172,37944
41,conventional,car,24121,33175,44400
41,conventional,pickup,27710,37261,51165.25
41,conventional,suv,25837,34037,44379
41,hybrid,car,25654,34881,46955
41,hybrid,suv,26123.25,33269,42148
41,phev,car,24707.5,32384.5,40741.5
42,bev,car,16832.5,23941,31349
42,bev,suv,21085,29596,38343.75
42,conventional,car,24476,33511,45000
42,conventional,pickup,28223,37899.5,52260
42,conventional,suv,26084.75,34383,44977
42,hybrid,car,26058.75,35000,47185.75
42,hybrid,suv,26048,33811.5,43145.75
42,phev,car,24521,32434,41611
43,bev,car,17400.25,24488.5,32076
43,bev,suv,21381,30217,40040
43,conventional,car,24875,34000,45867
43,conventional,pickup,28760,38655,53319
43,conventional,suv,26391,34791,45691
43,hybrid,car,26563.75,35305.5,48001.5
43,hybrid,suv,26783.75,34560.5,44354
43,phev,car,24736.5,32523,41504.5
44,bev,car,17732,25008,32935
44,bev,suv,22388,30790,40614.5
44,conventional,car,25340,34620,47157
44,conventional,pickup,29376,39622.5,54869
44,conventional,suv,27001,35451,47108
44,hybrid,car,26949.5,35804,48394.25
44,hybrid,suv,27769.75,35262.5,44645.75
44,phev,car,25000,32496,41176
45,bev,car,18521.75,25917,33971.25
45,bev,suv,23273,32066,42002
45,conventional,car,25866,35206,48627
45,conventional,pickup,29910,40572,56342.75
45,conventional,suv,27573,36133,48895
45,hybrid,car,27694,36230,50047
45,hybrid,suv,26366,35742,47959
45,phev,car,25402,32789,41450
46,bev,car,18627.25,26412.5,34396.25
46,bev,suv,23075,32751,42450
46,conventional,car,26392,35926.5,50280
46,conventional,pickup,30604,41740,58126
46,conventional,suv,28199,37056,50465
46,hybrid,car,28017,36964,51266
46,hybrid,suv,29000,37851.5,50749.25
46,phev,car,25423,33406,42411
47,bev,car,19183.25,26747,34948.25
47,bev,suv,24403,32016,40559.5
47,conventional,car,27217,37000,52433
47,conventional,pickup,31396,42971,59619
47,conventional,suv,29000,38287,52350
47,hybrid,car,28922.5,37998,53000
47,hybrid,suv,28436.25,39853.5,53009.5
47,phev,car,26326.5,33786,43033
48,bev,car,19183,26996.5,35351.5
48,bev,suv,23908.75,33933,43219.5
48,conventional,car,28125,38760,55000
48,conventional,pickup,32181,44334,61699.75
48,conventional,suv,29818,39740,54737.5
48,hybrid,car,29251.5,38891,54769.75
48,hybrid,suv,29284,39395,51101
48,phev,car,26802,34709,44328
49,bev,car,20000,27947.5,36404
49,bev,suv,23521.5,32668,43351.25
49,conventional,car,29748,41441,58687
49,conventional,pickup,33466.75,46232,64404
49,conventional,suv,31222,42226,58282
49,hybrid,car,30650,41260,58159.75
49,hybrid,suv,31360,42020,54875
49,phev,car,26686,35217,45343
50,bev,car,20673.25,28578,37918.5
50,bev,suv,26423,35164,44575
50,conventional,car,30976,43684,61737
50,conventional,pickup,34370.5,47949,66664
50,conventional,suv,32462,44512,61260
50,hybrid,car,31874,43422,61548.5
50,hybrid,suv,32909.5,44305.5,59690.5
50,phev,car,27908,36452,47941.5
51,bev,car,21541.75,29256.5,37791.25
51,bev,suv,25984.25,34937,44953.75
51,conventional,car,32002,45363,63444
51,conventional,pickup,35839,50057,69573
51,conventional,suv,33527,46079,63128.5
51,hybrid,car,32682.25,44898.5,62931.75
51,hybrid,suv,35026,47582,62749
51,phev,car,27419,36801.5,50009
52,bev,car,21399,29157,37874
52,bev,suv,26260.5,35240,45060
52,conventional,car,33517.5,47602,65802
52,conventional,pickup,36786,51131,70545
52,conventional,suv,35141,48225,65698
52,hybrid,car,33282,45885,65000
52,hybrid,suv,34670,47461,60131
52,phev,car,28186,38247,52062
53,bev,car,20915.5,28794.5,37317.25
53,bev,suv,27000,37326,48177
53,conventional,car,35189.25,49848.5,68075
53,conventional,pickup,38325,53594,73421
53,conventional,suv,36579,50377,68199
53,hybrid,car,35000,48659.5,67849
53,hybrid,suv,36381,46903,64872
53,phev,car,29983,40285,55207
54,bev,car,21506.5,29053,37429.5
54,bev,suv,26600,38075,49860
54,conventional,car,36541,51582,70031.5
54,conventional,pickup,39948.5,55413,74967
54,conventional,suv,38447,52764,70360.75
54,hybrid,car,36746.5,51114.5,70190.5
54,hybrid,suv,36795.5,49849,63098.25
54,phev,car,30927.5,42891,57684.5
55,bev,car,21000,29240,38215
55,bev,suv,29407.5,39818,49243
55,conventional,car,37974,53343,71686.5
55,conventional,pickup,41275,57299,76838
55,conventional,suv,40025.25,54758,72580.25
55,hybrid,car,38518,53036,72402.75
55,hybrid,suv,37721.5,50969,65796.5
55,phev,car,32186,44670,59425.5
56,bev,car,22794,31000,40332
56,bev,suv,29303.5,42673.5,56487.75
56,conventional,car,39000,54755.5,73499.75
56,conventional,pickup,42550,58526,78393
56,conventional,suv,41378,56301,74104
56,hybrid,car,39680,54700.5,74691.5
56,hybrid,suv,37994.5,53241.5,70065.25
56,phev,car,32566,46000,62061
57,bev,car,22945,31450,42005
57,bev,suv,28687,36576,48096.5
57,conventional,car,40111.25,56000,74692
57,conventional,pickup,43938.25,59961,79448.75
57,conventional,suv,42726.5,57898,75564
57,hybrid,car,40873.75,56974,75698.75
57,hybrid,suv,42609,54915,71562.5
57,phev,car,36257.5,49566.5,65295
58,bev,car,24000,32885.5,43398.5
58,bev,suv,32226.25,44110,54317.75
58,conventional,car,40923.75,57020,75608
58,conventional,pickup,44852.5,61234,81470.5
58,conventional,suv,43973,59317,77297.5
58,hybrid,car,41059,57099,77342
58,hybrid,suv,42082,55000,70799.5
58,phev,car,36000,50534,66772
59,bev,car,24961,34273.5,45180.75
59,bev,suv,30689,38484.5,52128.25
59,conventional,car,42119.5,58072,76995.5
59,conventional,pickup,45611.25,62119,82315.25
59,conventional,suv,44858.5,60379,78329.5
59,hybrid,car,42253.5,59595.5,79770
59,hybrid,suv,41827.25,56164.5,70735.5
59,phev,car,37991,52554,68435.75
60,bev,car,26476,35168,46163.5
60,bev,suv,28699.25,41044.5,55452.75
60,conventional,car,42806.25,59140,78000
60,conventional,pickup,46501.75,63501.5,83634
60,conventional,suv,45711.25,61334.5,79523
60,hybrid,car,43000,59503.5,77944
60,hybrid,suv,46789,58564,74029.5
60,phev,car,37813,53083.5,69290
61,bev,car,25937,35136,46915.5
61,bev,suv,32785.5,42819.5,54630.5
61,conventional,car,44550,60885,79612
61,conventional,pickup,47844,65031,85460
61,conventional,suv,47482,63418,81309
61,hybrid,car,44744.75,61160.5,80042.75
61,hybrid,suv,47775,60620,77263
61,phev,car,40683.75,55105.5,71385.75
62,bev,car,26262.5,35973,46611.5
62,bev,suv,30600,40038,54496
62,conventional,car,45900,62734,81707.5
62,conventional,pickup,48657.5,65996,86650.5
62,conventional,suv,48818,65147,83349
62,hybrid,car,45608.5,62647,82031.5
62,hybrid,suv,47927,62819,81510
62,phev,car,41860,55879,72410
63,bev,car,27519.25,36814.5,47993.75
63,bev,suv,32109,42145,53685.5
63,conventional,car,46050,62902.5,82042.25
63,conventional,pickup,49806,67982,88760
63,conventional,suv,48989.75,65662,84148
63,hybrid,car,46000,62757,83049
63,hybrid,suv,49000,63127,79962
63,phev,car,41965.5,56320.5,73464
64,bev,car,27804.5,37749.5,48807.5
64,bev,suv,33271.25,42622.5,55051.25
64,conventional,car,47443,64228,83301.5
64,conventional,pickup,50885.25,68850.5,89589.75
64,conventional,suv,50095,66449,84426
