age_months,powertrain,vehicle_type,miles25,miles50,miles75
89,conventional,pickup,72223.75,93198.5,117486
89,conventional,suv,71386.75,90216,110663.5
89,hybrid,car,65646,85823,110873.5
89,hybrid,suv,65185,82203,105956
89,phev,car,61105,79119,99979.25
90,bev,car,39175,50358,64676
90,bev,suv,49192.5,57486,60408
90,conventional,car,65988,86105,107454.5
90,conventional,pickup,72637.5,94299,118527.5
90,conventional,suv,72174.75,91239,111747
90,hybrid,car,63498,84725,108900.75
90,hybrid,suv,59204.5,78439.5,105535.75
90,phev,car,59926.75,79992,98696
91,bev,car,38659,51971,66215
91,bev,suv,42114,49254,56821.5
91,conventional,car,66333,87022.5,108644.25
91,conventional,pickup,72855,94690.5,119141.5
91,conventional,suv,73025.5,92290,112684
91,hybrid,car,65597,87415,111340
91,hybrid,suv,64395,82450,106807.5
91,phev,car,58110.25,77772,96736.5
92,bev,car,38994.75,52129.5,67033.25
92,bev,suv,46498.5,60664,69719.5
92,conventional,car,67482,87901,109915
92,conventional,pickup,73562,94710,120358
92,conventional,suv,73892,93407,114226.5
92,hybrid,car,64781.5,87174,112492.5
92,hybrid,suv,61872.5,82933,107622.5
92,phev,car,63104.5,83659,104240.5
93,bev,car,39292,51752.5,67250
93,bev,suv,47842,64034,81166.5
93,conventional,car,67844.5,88370,110054.5
93,conventional,pickup,73916,95796,121282
93,conventional,suv,74500.5,93839,114553.25
93,hybrid,car,64457.5,87119.5,112227.5
93,hybrid,suv,73529,83600,106999
93,phev,car,57689.5,77498,100315.5
94,bev,car,40848.5,55151.5,71651.25
94,bev,suv,61043.25,70177,79776.25
94,conventional,car,67899.25,88737,110914
94,conventional,pickup,74356.75,96914.5,122171
94,conventional,suv,74640,94000,114882.5
94,hybrid,car,64967,88820,114974
94,hybrid,suv,67035.25,83591.5,102415.75
94,phev,car,59887.5,81132.5,98979
95,bev,car,44312,56620,71066
95,bev,suv,87119.5,91665,102824.5
95,conventional,car,67777,88791,110980
95,conventional,pickup,75536.5,97225,122660
95,conventional,suv,75249,94744,115832
95,hybrid,car,66673.25,90384.5,116296.75
95,hybrid,suv,65788.75,85631,106097.5
95,phev,car,56928,76534,95880
96,bev,car,41552,53016,70889
96,bev,suv,47947.75,64785,76436.25
96,conventional,car,68800,89729.5,111972
96,conventional,pickup,75746,98592.5,125000
96,conventional,suv,75143.5,94895.5,116866
96,hybrid,car,67000,89698,115990.5
96,hybrid,suv,67456,88155,114909
96,phev,car,62888,82200,99853
97,bev,car,41517,53387,68452
97,bev,suv,45033.5,48918.5,66329
97,conventional,car,69748,90700,113048.25
97,conventional,pickup,78017,99511,125917
97,conventional,suv,76468.75,96221,117737
97,hybrid,car,70673,90596,115180
97,hybrid,suv,71993.75,93119.5,111265.5
97,phev,car,65339.5,83247,103549
98,bev,car,43138.25,57617,73314
98,bev,suv,59871.75,72776,85806.25
98,conventional,car,71397.75,92144.5,114682
98,conventional,pickup,78775.5,100607,126350.25
98,conventional,suv,78078,97843,119780
98,hybrid,car,70691,93172,119564
98,hybrid,suv,71370,88782,105549
98,phev,car,61351,81173,99191.75
99,bev,car,40390,54002,70660
99,bev,suv,49150,62725,72700
99,conventional,car,71023,92598.5,115779
99,conventional,pickup,80190,103240,129360
99,conventional,suv,78152.5,98237.5,120639
99,hybrid,car,70649.5,92942,118629.5
99,hybrid,suv,73779.75,89396,114395.5
99,phev,car,63685.75,84859.5,104969.5
100,bev,car,43465,55038,72368
100,bev,suv,56610.5,62558,68505.5
100,conventional,car,72637.5,93899.5,116683
100,conventional,pickup,80498,102832,129007
100,conventional,suv,79277.5,99260.5,121501.25
100,hybrid,car,69830.75,94045.5,120512
100,hybrid,suv,76321.5,94245,113480
100,phev,car,65009,88576,107290
101,bev,car,43193,56087,72086
101,bev,suv,72569.5,72775,73839
101,conventional,car,72954.75,94358,117309.25
101,conventional,pickup,80507,103406,129111.5
101,conventional,suv,79442,99624,122054
101,hybrid,car,71523,95341,121040
101,hybrid,suv,63222.5,92003,110415.5
101,phev,car,67766,91238,113557
102,bev,car,39609.25,54198.5,65820.75
102,bev,suv,37521.25,58382,75912.25
102,conventional,car,73006,94451,117362
102,conventional,pickup,81315,105123,131289
102,conventional,suv,80420.25,100212,122980.25
102,hybrid,car,73374,96160,123302
102,hybrid,suv,70543.5,90658,113199
102,phev,car,66762,87934,109260
103,bev,car,43168.5,53929,67466.5
103,bev,suv,86606.5,88213,91681.5
103,conventional,car,72840.75,94458.5,117952.25
103,conventional,pickup,80353,103718,131468
103,conventional,suv,80761.75,100815,123493.75
103,hybrid,car,70947,96001,123243
103,hybrid,suv,65167,85323,116925
103,phev,car,72305,93504,112629.5
104,bev,car,43609.5,55610,74010
104,bev,suv,57075,58675,78385
104,conventional,car,73593.5,95354.5,118995.25
104,conventional,pickup,81745,105801,132887.5
104,conventional,suv,82208.5,102405,125204.5
104,hybrid,car,65747.25,93478,122672.75
104,hybrid,suv,71972.5,95822,118070
104,phev,car,67633,85342,105248.5
105,bev,car,46511.25,59089,78908.5
105,bev,suv,70845,71557,77498.5
105,conventional,car,72828,95103,118284
105,conventional,pickup,81845.5,104698,131905
105,conventional,suv,80600,101260,124577
105,hybrid,car,75497,98533,127971
105,phev,car,72256.5,89485,113940
106,bev,car,47298,59229,77449
106,bev,suv,68276.75,79658,91658.75
106,conventional,car,73341,95919,119523
106,conventional,pickup,81204.25,106095,133000.75
106,conventional,suv,81683.5,102300,125459.5
106,hybrid,car,73491.5,97000,121638.5
106,phev,car,60514,88027,111315
107,bev,car,45043.5,59713.5,76284.75
107,bev,suv,77745,85490,93235
107,conventional,car,73330,95065,119427
107,conventional,pickup,82589,105973.5,133637.75
107,conventional,suv,82202.75,102841.5,126080.25
107,hybrid,car,72973,98286,124523.25
107,phev,car,67883,90977,108449.5
108,bev,car,44348.5,58171,76750.75
108,bev,suv,57145.25,63136.5,69127.75
108,conventional,car,74516,96838,120386
108,conventional,pickup,81895,107437,134987
108,conventional,suv,83431,103051,126488
108,hybrid,car,74926.5,96641,121551
108,phev,car,68093,90150,106671
