age_months,powertrain,vehicle_type,miles25,miles50,miles75,vehicle,age_years,category
35,hybrid,car,22409.75,32181,44412,hybrid_car,2.9166666666666665,other
36,hybrid,car,22760,32423,44427.5,hybrid_car,3,other
37,hybrid,car,23202.25,32650.5,44735.25,hybrid_car,3.0833333333333335,other
38,hybrid,car,24000,33226.5,45257.75,hybrid_car,3.1666666666666665,other
39,hybrid,car,24467.75,33655.5,45231,hybrid_car,3.25,other
40,hybrid,car,24909,34000,45932,hybrid_car,3.3333333333333335,other
41,hybrid,car,25654,34881,46955,hybrid_car,3.4166666666666665,other
42,hybrid,car,26058.75,35000,47185.75,hybrid_car,3.5,other
43,hybrid,car,26563.75,35305.5,48001.5,hybrid_car,3.5833333333333335,other
44,hybrid,car,26949.5,35804,48394.25,hybrid_car,3.6666666666666665,other
45,hybrid,car,27694,36230,50047,hybrid_car,3.75,other
46,hybrid,car,28017,36964,51266,hybrid_car,3.8333333333333335,other
47,hybrid,car,28922.5,37998,53000,hybrid_car,3.9166666666666665,other
48,hybrid,car,29251.5,38891,54769.75,hybrid_car,4,other
49,hybrid,car,30650,41260,58159.75,hybrid_car,4.083333333333333,other
50,hybrid,car,31874,43422,61548.5,hybrid_car,4.166666666666667,other
51,hybrid,car,32682.25,44898.5,62931.75,hybrid_car,4.25,other
52,hybrid,car,33282,45885,65000,hybrid_car,4.333333333333333,other
53,hybrid,car,35000,48659.5,67849,hybrid_car,4.416666666666667,other
54,hybrid,car,36746.5,51114.5,70190.5,hybrid_car,4.5,other
55,hybrid,car,38518,53036,72402.75,hybrid_car,4.583333333333333,other
56,hybrid,car,39680,54700.5,74691.5,hybrid_car,4.666666666666667,other
57,hybrid,car,40873.75,56974,75698.75,hybrid_car,4.75,other
58,hybrid,car,41059,57099,77342,hybrid_car,4.833333333333333,other
59,hybrid,car,42253.5,59595.5,79770,hybrid_car,4.916666666666667,other
60,hybrid,car,43000,59503.5,77944,hybrid_car,5,other
61,hybrid,car,44744.75,61160.5,80042.75,hybrid_car,5.083333333333333,other
62,hybrid,car,45608.5,62647,82031.5,hybrid_car,5.166666666666667,other
63,hybrid,car,46000,62757,83049,hybrid_car,5.25,other
64,hybrid,car,46811,63479,83323.5,hybrid_car,5.333333333333333,other
