quantile,dvmt,powertrain,vehicle_type
1,3.1824644549763033,all,all
2,5.805819838740382,all,all
3,7.575757575757576,all,all
4,8.971050887843045,all,all
5,10.139648626182291,all,all
6,11.163076923076924,all,all
7,12.073319559768136,all,all
8,12.899551831227242,all,all
9,13.65940370303745,all,all
10,14.364341085271317,all,all
11,15.026296018031555,all,all
12,15.649875131171523,all,all
13,16.242174973054063,all,all
14,16.806603773584907,all,all
15,17.343941248470014,all,all
16,17.86056338028169,all,all
17,18.361581920903955,all,all
18,18.84375,all,all
19,19.310259852808933,all,all
20,19.763054932039587,all,all
21,20.203803257491504,all,all
22,20.63410889987711,all,all
23,21.053963463740832,all,all
24,21.46686580148487,all,all
25,21.871794871794872,all,all
26,22.2707182320442,all,all
27,22.66179884086918,all,all
28,23.04689840192688,all,all
29,23.42778861920888,all,all
30,23.804947534402707,all,all
31,24.179620034542314,all,all
32,24.550675675675677,all,all
33,24.920220604053533,all,all
34,25.28715365239295,all,all
35,25.65214529506305,all,all
36,26.015591896754195,all,all
37,26.378896882494004,all,all
38,26.741329479768787,all,all
39,27.10414954643367,all,all
40,27.469957899517034,all,all
41,27.8375869402646,all,all
42,28.206097746887757,all,all
43,28.577263496254233,all,all
44,28.949427122718483,all,all
45,29.324399260628468,all,all
46,29.70209753174373,all,all
47,30.08363945088439,all,all
48,30.46853146853147,all,all
49,30.857548726832924,all,all
50,31.25,all,all
51,31.646858109816634,all,all
52,32.04729537117292,all,all
53,32.453235964900394,all,all
54,32.86505771501767,all,all
55,33.28313253012048,all,all
56,33.70786516853933,all,all
57,34.13948235194004,all,all
58,34.57642211819613,all,all
59,35.0220896608575,all,all
60,35.477814290796246,all,all
61,35.94041784867872,all,all
62,36.41143911439114,all,all
63,36.89040759153856,all,all
64,37.38219482434007,all,all
65,37.88307242574723,all,all
66,38.39495798319328,all,all
67,38.92,all,all
68,39.458506650007635,all,all
69,40.01244019138756,all,all
70,40.58325385858386,all,all
71,41.17006802721088,all,all
72,41.77255542191339,all,all
73,42.396877503636674,all,all
74,43.040464172157606,all,all
75,43.707506806690006,all,all
76,44.395636192649974,all,all
77,45.11176470588235,all,all
78,45.85537918871252,all,all
79,46.62820512820513,all,all
80,47.432542816358776,all,all
81,48.273563218390805,all,all
82,49.15353796487492,all,all
83,50.078947368421055,all,all
84,51.05769230769231,all,all
85,52.09100144944563,all,all
86,53.1875,all,all
87,54.35985571899364,all,all
88,55.62031808164713,all,all
89,56.98562467099491,all,all
90,58.47799672589642,all,all
91,60.12453522339554,all,all
92,61.962126737217936,all,all
93,64.04797820563414,all,all
94,66.47378277153558,all,all
95,69.35193896526697,all,all
96,72.9229276952212,all,all
97,77.6,all,all
98,84.52523341197686,all,all
99,97.6201326816201,all,all
1,0.7197197449259143,bev_all,car
2,1.9632278737797355,bev_all,car
3,3.1386898194624573,bev_all,car
4,4.127784964058587,bev_all,car
5,4.966031941031941,bev_all,car
6,5.669739809430202,bev_all,car
7,6.296385856889636,bev_all,car
8,6.863360563507994,bev_all,car
9,7.356820382110161,bev_all,car
10,7.823062046528296,bev_all,car
11,8.235810245481098,bev_all,car
12,8.658736141906873,bev_all,car
13,9.025898777019613,bev_all,car
14,9.384853714356405,bev_all,car
15,9.73266708632703,bev_all,car
16,10.061913081269013,bev_all,car
17,10.385195993460277,bev_all,car
18,10.689317338786266,bev_all,car
19,10.982972175623301,bev_all,car
20,11.268623024830699,bev_all,car
21,11.557738124048,bev_all,car
22,11.83416900513581,bev_all,car
23,12.096783820536139,bev_all,car
24,12.35508344774981,bev_all,car
25,12.609406952965236,bev_all,car
26,12.867256206163404,bev_all,car
27,13.116301679586563,bev_all,car
28,13.36174053526794,bev_all,car
29,13.612400564867453,bev_all,car
30,13.848681633857078,bev_all,car
31,14.08196419991289,bev_all,car
32,14.316976618923878,bev_all,car
33,14.549036982923937,bev_all,car
34,14.781621439766107,bev_all,car
35,15.010282544229751,bev_all,car
36,15.24557449938114,bev_all,car
37,15.464466126802293,bev_all,car
38,15.687624585240494,bev_all,car
39,15.913117660391963,bev_all,car
40,16.13669573180443,bev_all,car
41,16.356737624976162,bev_all,car
42,16.573720186813752,bev_all,car
43,16.785379568884725,bev_all,car
44,17.003818288256646,bev_all,car
45,17.213815373815375,bev_all,car
46,17.429688384411655,bev_all,car
47,17.652178820642586,bev_all,car
48,17.87085248549508,bev_all,car
49,18.090371226804745,bev_all,car
50,18.317682926829267,bev_all,car
51,18.543786148670076,bev_all,car
52,18.76201031982361,bev_all,car
53,18.9873417721519,bev_all,car
54,19.211890458127375,bev_all,car
55,19.431455940500847,bev_all,car
56,19.646300228963938,bev_all,car
57,19.875793010610614,bev_all,car
58,20.11156701845228,bev_all,car
