age_months,powertrain,vehicle_type,quantile,mileage,age_years
0,phev,car,55,3388.4000000000005,0
0,phev,car,60,4401.799999999999,0
0,phev,car,65,5415.200000000001,0
0,phev,car,70,6428.5999999999985,0
0,phev,car,75,7442,0
0,phev,car,80,8169.6,0
0,phev,car,85,8897.2,0
0,phev,car,90,9624.8,0
0,phev,car,95,10352.4,0
0,phev,car,99,10934.48,0
1,bev,car,1,1,0.08333333333333333
1,bev,car,5,1,0.08333333333333333
1,bev,car,10,1,0.08333333333333333
1,bev,car,15,3.25,0.08333333333333333
1,bev,car,20,4,0.08333333333333333
1,bev,car,25,4.25,0.08333333333333333
1,bev,car,30,5.5,0.08333333333333333
1,bev,car,35,6,0.08333333333333333
1,bev,car,40,7,0.08333333333333333
1,bev,car,45,13.75,0.08333333333333333
1,bev,car,50,27.5,0.08333333333333333
1,bev,car,55,54.75000000000006,0.08333333333333333
1,bev,car,60,80,0.08333333333333333
1,bev,car,65,165,0.08333333333333333
1,bev,car,70,312.5,0.08333333333333333
1,bev,car,75,600.25,0.08333333333333333
1,bev,car,80,749,0.08333333333333333
1,bev,car,85,1036,0.08333333333333333
1,bev,car,90,1755.5,0.08333333333333333
1,bev,car,95,2707.5,0.08333333333333333
1,bev,car,99,6357.75,0.08333333333333333
1,bev,suv,1,4.5000000000000036,0.08333333333333333
1,bev,suv,5,22.499999999999996,0.08333333333333333
1,bev,suv,10,44.99999999999999,0.08333333333333333
1,bev,suv,15,67.14999999999998,0.08333333333333333
1,bev,suv,20,89.2,0.08333333333333333
1,bev,suv,25,107.25,0.08333333333333333
1,bev,suv,30,122.1,0.08333333333333333
1,bev,suv,35,293.40000000000043,0.08333333333333333
1,bev,suv,40,777.5999999999997,0.08333333333333333
1,bev,suv,45,1209.8999999999999,0.08333333333333333
1,bev,suv,50,1227,0.08333333333333333
1,bev,suv,55,1244.1000000000001,0.08333333333333333
1,bev,suv,60,1456.3999999999996,0.08333333333333333
1,bev,suv,65,1693.1000000000004,0.08333333333333333
1,bev,suv,70,1970,0.08333333333333333
1,bev,suv,75,2267,0.08333333333333333
1,bev,suv,80,2646.999999999999,0.08333333333333333
1,bev,suv,85,3130.7499999999986,0.08333333333333333
1,bev,suv,90,3586.5999999999995,0.08333333333333333
1,bev,suv,95,3944.7999999999993,0.08333333333333333
1,bev,suv,99,4231.36,0.08333333333333333
1,conventional,car,1,0,0.08333333333333333
1,conventional,car,5,2,0.08333333333333333
1,conventional,car,10,5,0.08333333333333333
1,conventional,car,15,8,0.08333333333333333
1,conventional,car,20,11,0.08333333333333333
1,conventional,car,25,25,0.08333333333333333
1,conventional,car,30,140,0.08333333333333333
1,conventional,car,35,434.6499999999992,0.08333333333333333
1,conventional,car,40,839,0.08333333333333333
1,conventional,car,45,1279.8500000000004,0.08333333333333333
1,conventional,car,50,1815,0.08333333333333333
1,conventional,car,55,2279,0.08333333333333333
1,conventional,car,60,2799.8,0.08333333333333333
1,conventional,car,65,3286.45,0.08333333333333333
1,conventional,car,70,3894,0.08333333333333333
1,conventional,car,75,4414.5,0.08333333333333333
1,conventional,car,80,5018.800000000001,0.08333333333333333
1,conventional,car,85,6194.1,0.08333333333333333
1,conventional,car,90,8209.200000000004,0.08333333333333333
1,conventional,car,95,12729.050000000001,0.08333333333333333
1,conventional,car,99,22336.880000000005,0.08333333333333333
1,conventional,pickup,1,0,0.08333333333333333
1,conventional,pickup,5,0,0.08333333333333333
1,conventional,pickup,10,2,0.08333333333333333
1,conventional,pickup,15,5,0.08333333333333333
1,conventional,pickup,20,7,0.08333333333333333
1,conventional,pickup,25,10,0.08333333333333333
1,conventional,pickup,30,18,0.08333333333333333
1,conventional,pickup,35,56,0.08333333333333333
1,conventional,pickup,40,148,0.08333333333333333
1,conventional,pickup,45,286.5,0.08333333333333333
1,conventional,pickup,50,517.5,0.08333333333333333
1,conventional,pickup,55,848,0.08333333333333333
1,conventional,pickup,60,1237,0.08333333333333333
1,conventional,pickup,65,1808,0.08333333333333333
1,conventional,pickup,70,2232,0.08333333333333333
1,conventional,pickup,75,2771.75,0.08333333333333333
1,conventional,pickup,80,3237,0.08333333333333333
1,conventional,pickup,85,3926,0.08333333333333333
1,conventional,pickup,90,5113,0.08333333333333333
1,conventional,pickup,95,7686.75,0.08333333333333333
1,conventional,pickup,99,15641.499999999976,0.08333333333333333
1,conventional,suv,1,0,0.08333333333333333
1,conventional,suv,5,1,0.08333333333333333
1,conventional,suv,10,5,0.08333333333333333
1,conventional,suv,15,6,0.08333333333333333
1,conventional,suv,20,10,0.08333333333333333
1,conventional,suv,25,15,0.08333333333333333
1,conventional,suv,30,78,0.08333333333333333
1,conventional,suv,35,281,0.08333333333333333
1,conventional,suv,40,667.2000000000007,0.08333333333333333
1,conventional,suv,45,1268,0.08333333333333333
1,conventional,suv,50,2018,0.08333333333333333
1,conventional,suv,55,2475.7000000000016,0.08333333333333333
1,conventional,suv,60,3056.7999999999993,0.08333333333333333
1,conventional,suv,65,3708.7000000000007,0.08333333333333333
1,conventional,suv,70,4586,0.08333333333333333
1,conventional,suv,75,5723,0.08333333333333333
1,conventional,suv,80,7954.4000000000015,0.08333333333333333
1,conventional,suv,85,11656.799999999996,0.08333333333333333
1,conventional,suv,90,14686.2,0.08333333333333333
1,conventional,suv,95,18101.299999999996,0.08333333333333333
1,conventional,suv,99,25407.979999999996,0.08333333333333333
1,hybrid,car,1,1,0.08333333333333333
1,hybrid,car,5,3,0.08333333333333333
1,hybrid,car,10,5,0.08333333333333333
1,hybrid,car,15,6.599999999999994,0.08333333333333333
1,hybrid,car,20,11,0.08333333333333333
1,hybrid,car,25,45.5,0.08333333333333333
1,hybrid,car,30,154.19999999999996,0.08333333333333333
1,hybrid,car,35,312.6999999999999,0.08333333333333333
1,hybrid,car,40,753.8000000000004,0.08333333333333333
1,hybrid,car,45,1497.9000000000003,0.08333333333333333
1,hybrid,car,50,2014,0.08333333333333333
1,hybrid,car,55,2043.0000000000002,0.08333333333333333
1,hybrid,car,60,2099.6,0.08333333333333333
1,hybrid,car,65,2238.8999999999996,0.08333333333333333
1,hybrid,car,70,2375.8,0.08333333333333333
1,hybrid,car,75,2459,0.08333333333333333
1,hybrid,car,80,2662.4,0.08333333333333333
1,hybrid,car,85,3179.7,0.08333333333333333
1,hybrid,car,90,3986.000000000001,0.08333333333333333
1,hybrid,car,95,5462.999999999998,0.08333333333333333
1,hybrid,car,99,11651.560000000001,0.08333333333333333
1,hybrid,suv,1,0,0.08333333333333333
1,hybrid,suv,5,1,0.08333333333333333
1,hybrid,suv,10,2,0.08333333333333333
1,hybrid,suv,15,4,0.08333333333333333
1,hybrid,suv,20,5,0.08333333333333333
1,hybrid,suv,25,5,0.08333333333333333
1,hybrid,suv,30,6.399999999999999,0.08333333333333333
1,hybrid,suv,35,10,0.08333333333333333
1,hybrid,suv,40,14.600000000000001,0.08333333333333333
1,hybrid,suv,45,28.500000000000064,0.08333333333333333
1,hybrid,suv,50,113,0.08333333333333333
1,hybrid,suv,55,254.10000000000002,0.08333333333333333
1,hybrid,suv,60,516.5999999999995,0.08333333333333333
1,hybrid,suv,65,980.2000000000002,0.08333333333333333
1,hybrid,suv,70,1581.7999999999997,0.08333333333333333
1,hybrid,suv,75,2215,0.08333333333333333
1,hybrid,suv,80,3232.6000000000004,0.08333333333333333
1,hybrid,suv,85,3856.7999999999997,0.08333333333333333
1,hybrid,suv,90,4493.200000000003,0.08333333333333333
1,hybrid,suv,95,5051.799999999998,0.08333333333333333
