term,estimate,std.error,statistic,p.value
(Intercept),-6.891409235538371,2.00698433247503,-3.4337135193476214,5.954187030685342e-4
age_years,13.37200081424596,0.35611895191426324,37.549253535558286,3.7088368209352485e-308
cents_per_mile,-0.3288154536620866,0.1652352671820849,-1.9899834900242008,0.04659326849970633
modelcamry,5.91015107524383,1.181241229664385,5.003339645470236,5.636355461855082e-7
modelcivic,-18.181296439107697,1.5161021266475565,-11.992131743334891,3.946120150411292e-33
modelct,-10.099030808728726,1.1714087958823054,-8.621269401620067,6.639377937461957e-18
modeles,-5.41379240877219,1.363256015024779,-3.9712220955605226,7.1514335094187065e-05
modelfusion,8.819405997894322,1.2643570714271744,6.975407657537121,3.053407429286015e-12
modelfusion hybrid,20.98226941813288,1.1387698045771186,18.425382666275237,8.683877658631611e-76
modelinsight,-10.26136774218475,1.8446230256531138,-5.562853547570552,2.6552651074414922e-8
modelmkz,-0.8827041894788971,1.1664951907263386,-0.7567148124539338,0.4492210758895613
modelniro,-8.683776170211658,6.787863039338442,-1.279309278912321,0.20078872792861369
modeloptima,-8.640741884503266,1.3081269749588043,-6.605430550635485,3.967369255640024e-11
modelprius,-0.3277019826040289,1.0878863578765579,-0.30122813861152686,0.7632406526977158
modelprius c,-1.4410054879917957,1.1237658442555132,-1.2823004857799816,0.19973781998206686
modelprius v,-1.821574376077877,1.2468440928194315,-1.4609479938737442,0.14403030851304607
modelsonata hybrid,8.03077504881675,1.1703619398212717,6.86178760225503,6.8078465735033156e-12
stateAL,14.178276291222675,1.33541256753008,10.617150561527353,2.4953770683749318e-26
stateAR,13.568903717334031,1.3723420353610634,9.887406614171118,4.7428156230362694e-23
stateAZ,7.0089646544628526,1.2928186783714848,5.4214599245207244,5.9140030500729186e-8
stateCA,8.119640223739102,1.2864539260510848,6.311644792956754,2.7630291770763447e-10
stateCO,6.611436230657153,1.3108838038414818,5.043495244416521,4.572548715474812e-7
stateCT,6.639793391480656,1.3339629635019914,4.977494558056929,6.443278139932522e-7
stateDE,5.777388696201818,1.4565022894194324,3.9666183418803334,7.290918535994731e-5
stateFL,6.644884766484297,1.2885393864039356,5.15691242083712,2.5114536657682583e-7
stateGA,7.046771141351119,1.2952903153895263,5.440302500240634,5.321368763721268e-8
stateHI,-5.531438734201489,1.422856519434536,-3.8875590466421475,1.0126971630060983e-4
stateIA,11.745676440190786,1.338821765937425,8.77314422205156,1.7424532733119574e-18
stateID,5.65822126486834,1.379697111696736,4.101060455153032,4.1132252504664284e-5
stateIL,7.639457537125039,1.2954217015201874,5.897274631234042,3.6977797781575614e-9
stateIN,11.754742941555783,1.3079433028703291,8.987196093102485,2.544208529227912e-19
stateKS,9.36119750708017,1.3363639589332839,7.004976035534879,2.473209522081815e-12
stateKY,13.22260212303989,1.3308632288363476,9.93535762093389,2.93502296088671e-23
stateLA,11.446251279762107,1.3896721267291734,8.236656013748208,1.7748790654613026e-16
stateMA,4.368309952247233,1.3040548300563877,3.3497900943768952,8.087847397460099e-4
stateMD,5.681880808390592,1.3002717517572826,4.369764090246275,1.2440449117786104e-5
stateME,7.676922105689382,1.413866992467937,5.4297343007415,5.646277193203164e-8
stateMI,10.267292072307885,1.3087270958994097,7.845250629010467,4.328894607392318e-15
stateMN,7.047284327748563,1.3111382321005938,5.374936185376888,7.664212228883486e-8
stateMO,11.247990502578856,1.309650633280269,8.588542789007878,8.831232405054598e-18
stateMS,13.104396317953146,1.3803369417051088,9.493621392009903,2.2402223487317843e-21
stateMT,4.338249004587908,1.5760514256510094,2.7526062500123913,0.005912497413891834
stateNC,10.298734358341015,1.296421616407002,7.94396994619982,1.9619181979587112e-15
stateND,7.7928466834647265,1.6878932262391546,4.616907374424508,3.895924424661413e-6
stateNE,8.574893883640105,1.3751576595850963,6.235571480747354,4.504701005664132e-10
stateNH,8.561882226135696,1.3646782104899242,6.273920225532105,3.523399995390756e-10
stateNJ,6.981755706233273,1.30526849937498,5.348903853556909,8.852515968096854e-8
stateNM,4.546049504997194,1.3841770888900622,3.28429761010028,0.00102243541482371
stateNV,4.385983594874583,1.323235108823807,3.314591311572123,9.178336815133845e-4
stateNY,3.6166860974353465,1.2992844407342046,2.7835984054358534,0.005376146063334439
stateOH,8.700424910395308,1.2983915948970626,6.700925163555979,2.073103899373264e-11
stateOK,13.82374496111991,1.3348307509101234,10.356178078527567,3.9450635468447714e-25
stateOR,4.377323937571259,1.2959917169703623,3.3775863535641433,7.313025952586861e-4
statePA,4.858662874113703,1.2971079517576125,3.7457660077791504,1.7986324455196797e-4
stateRI,5.026416688523186,1.5018767815396565,3.3467570377979543,8.176853438573668e-4
stateSC,10.726164393989963,1.3214448048476204,8.116997663952244,4.788696114719172e-16
stateSD,9.304607369780294,1.5521881390207468,5.994510031271362,2.0423141001675932e-9
stateTN,13.380757474524508,1.3072649623460408,10.235688907710923,1.3794281645594307e-24
stateTX,10.37546779257422,1.2946958109462405,8.013826649358826,1.1141722179204632e-15
stateUT,7.648509162066766,1.3161843746563426,5.811122901427698,6.209061976388665e-9
stateVA,8.13699684619176,1.298164783957326,6.268077016684227,3.6581439123546726e-10
stateVT,8.023908582874501,1.4458172636654891,5.549739088418403,2.862328606379073e-8
stateWA,5.764261705072667,1.2913727053856756,4.463670078384643,8.058420987307182e-6
stateWI,7.399211937756967,1.307915526728991,5.6572552175918425,1.538920874898707e-8
stateWV,6.487641659237036,1.496297606776457,4.335796321437459,1.452601908967139e-5
stateWY,3.9127016467900098,2.037339033349969,1.9204960896254992,0.05479580400264182
my2013,-1.4640192936579817,0.14925516658395263,-9.808834944648327,1.0361454207675924e-22
my2014,-0.33826909389354864,0.2053184205979932,-1.6475340737004232,0.0994489129196799
my2015,-0.621626334628437,0.2683311914360742,-2.3166383725334816,0.020523819562675533
my2016,-2.190892682537751,0.2946553549151374,-7.4354415963990945,1.0437538050563454e-13
my2017,-0.603613566491479,0.2812900614422753,-2.1458759097158824,0.0318833342191013
my2018,-3.5106517910619743,0.30664174391806265,-11.448708014131471,2.406529375425506e-30
my2019,-8.496280949655542,0.36788867274063547,-23.09470657620788,5.989479311544567e-118
age_years:cents_per_mile,0.07070549707828507,0.02991713515479057,2.363377934165703,0.01810955104313099
age_years:modelcamry,-2.586609713267703,0.3349219474994867,-7.723022431283536,1.1380083673492262e-14
age_years:modelcivic,1.9657837989614422,0.392762804677484,5.005015178501028,5.587551324710526e-7
age_years:modelct,-1.0491929314873438,0.3354622522270173,-3.127603551583275,0.001762472876497884
age_years:modeles,-1.282427375857061,0.3852655345311594,-3.328684403129087,8.72631773136068e-4
age_years:modelfusion,-2.0149288421327918,0.3499341210343222,-5.758023356445323,8.515147546951797e-9
age_years:modelfusion hybrid,-3.5104016746392603,0.3336675103300633,-10.520657738497755,6.979792475233923e-26
age_years:modelinsight,0.06829847970198623,0.44077567371692666,0.15495065579741732,0.8768602774797969
age_years:modelmkz,-2.5646261996348767,0.33203059824264325,-7.724065833717784,1.128727559708036e-14
age_years:modelniro,1.566886011394657,2.77388312878461,0.5648709547763807,0.5721617805455216
age_years:modeloptima,0.11982840622154523,0.35680254342764983,0.33583955167585083,0.7369919960147923
age_years:modelprius,-1.0707547958219548,0.31824334579201985,-3.364578741331234,7.666605295718939e-4
age_years:modelprius c,-1.995334477214565,0.3234683069941449,-6.16856252705673,6.896325958465823e-10
age_years:modelprius v,-0.6341979768754419,0.3335519392926374,-1.9013469932760207,0.05725712081496687
age_years:modelsonata hybrid,-2.872285790348682,0.32947959926715475,-8.717643813873046,2.8484815702325765e-18
