term,estimate,std.error,statistic,p.value
(Intercept),8.989976943025912,2.9742822281787613,3.022570238242231,0.0025067401574708687
age_years,5.834909892982731,0.4222926054736357,13.817220139193303,2.1146028808697982e-43
cents_per_mile,-0.45227810171855315,0.20412577099329143,-2.2156834951203552,0.02671446298091499
range_typelow,10.000899270618604,4.271648266226382,2.341227237666153,0.019221576418594347
range_typemid,8.81463482929405,4.16661462521109,2.1155387820027824,0.03438545651033601
range,-0.04795244636221038,0.005289790630477141,-9.065093443572653,1.257284923043436e-19
modelfortwo,-4.053069540566013,1.2427765908239166,-3.261301806368088,0.001109230551376943
modelspark,-0.3169613492381369,0.8050838188636608,-0.3936998133753495,0.6938031569666465
modelfocus,-0.4040685058661309,0.7795644543737487,-0.5183259749711565,0.6042315056864733
modeli3,-6.0272038203425184,0.35580468121816405,-16.939641714963546,2.582284261424262e-64
modele-golf,-1.7689466395565052,0.6818846479027441,-2.5942021792061327,0.00948185849818007
model500e,-0.0776422416177106,0.6222850701626639,-0.1247695716007056,0.9007061202106178
modelsoul,4.619750743545701,1.2040756775002954,3.836761118816444,1.2471119039550053e-4
modelbolt ev,26.76940856174507,1.1011306729006216,24.31083723353971,2.4766224602457552e-130
modelmodel 3,5.337543546526922,1.023565296167565,5.214658572845095,1.843640361947174e-7
modelmodel s,5.395471824196711,0.9332567540201319,5.781337023230717,7.42341245506967e-9
stateAL,0.9593865561492481,2.256486032848275,0.4251683999737643,0.670714439041729
stateAR,-0.6984443834548498,2.3927188993632047,-0.2919040693165975,0.7703603167389167
stateAZ,-0.001962886258593777,2.1920782597686794,-8.95445338160925e-4,0.9992855391018262
stateCA,1.7168592707078887,2.138650999023552,0.8027767370607726,0.4221048762524603
stateCO,-0.3699542198750036,2.1939720839848205,-0.16862302969829548,0.8660933589961812
stateCT,1.5069966852155017,2.1761975835730736,0.6924907446782389,0.4886301115159367
stateDC,-1.9608758714043415,2.5241079032857168,-0.7768589721746059,0.4372430253564209
stateDE,-2.1643681563218045,2.398351024293899,-0.9024401075564068,0.36682436082146985
stateFL,-1.406088847597104,2.204210278459358,-0.637910484919749,0.5235327835543181
stateGA,-0.945516584189559,2.1987928319581798,-0.4300162209222366,0.6671843691349508
stateHI,0.8292508815194717,2.2246157531526123,0.3727613995110389,0.7093264839547551
stateIA,-3.4991879406499824,2.282396977295756,-1.5331197751566916,0.12524814681056945
stateID,-2.2680278217276872,2.2884478614732613,-0.9910769040932276,0.3216493946675626
stateIL,-0.47467353256989925,2.1930377124626923,-0.2164456770954751,0.8286406161388663
stateIN,-1.5013765399532695,2.2200753292427007,-0.6762727913675841,0.4988683546176451
stateKS,-0.9117465281578215,2.2530739181430084,-0.4046678277245721,0.6857221864198393
stateKY,-1.0238932476677711,2.3210144928669543,-0.44114039391586984,0.6591119047287017
stateLA,-2.763558561971445,2.4995095186302265,-1.105640343184579,0.2688837348231284
stateMA,-0.4695501904568163,2.154657469650205,-0.21792335768944507,0.827489080785873
stateMD,-1.873730387494272,2.1945608027698174,-0.8538065498706546,0.3932133489034214
stateME,-0.39680486808116383,2.325151790190042,-0.17065761889409023,0.8644931856169679
stateMI,-0.5143177668496108,2.188818403019472,-0.23497507428670655,0.8142283533395218
stateMN,-1.8748259109389027,2.2026436657908097,-0.8511707726750203,0.3946756560985555
stateMO,-1.3354942047798846,2.230045399849677,-0.5988641329319607,0.5492642632245359
stateMS,-2.8398673509274133,2.339101574106283,-1.214084664969054,0.22471702730755772
stateMT,-4.971320059847157,2.7673459556085915,-1.7964216038012024,0.0724292078436406
stateNC,-0.10410635074041277,2.2144290693919837,-0.04701272765038136,0.9625031369858712
stateND,-3.5411279078406794,3.2785719713515173,-1.0800824074576985,0.2801069679470532
stateNE,-1.434299937970634,2.303808681385004,-0.6225777120990625,0.5335628693296565
stateNH,-0.7109755071089271,2.270998681561741,-0.31306733591760477,0.754229876374559
stateNJ,-1.189614596987946,2.171340416320298,-0.547871069891449,0.5837811307616777
stateNM,-1.810330396728147,2.2923130875202316,-0.7897395894932129,0.42968093156263143
stateNV,0.38574873290930045,2.2139084125350617,0.17423879448906127,0.8616779989935667
stateNY,-0.42122655245236107,2.1553193048192325,-0.19543579993484517,0.8450520186483033
stateOH,-1.5854425985218767,2.2016148562580358,-0.7201271348688875,0.47144767994948655
stateOK,-2.2107228171685565,2.2921347431604335,-0.9644820505274376,0.33480563081177095
stateOR,-0.6432170794025076,2.213051663156992,-0.2906471141685581,0.7713215659728543
statePA,-1.4060848563507806,2.1904156917966233,-0.6419260333172109,0.5209220476512109
stateRI,-1.071215004561035,2.4279703500294074,-0.4411977290200683,0.659070400109437
stateSC,0.16494792778577125,2.23689931174583,0.07373954067563039,0.9412177194597184
stateSD,-3.0183822992941804,2.914003638892069,-1.0358196740076129,0.30028770306760666
stateTN,-1.5742285630486423,2.2360710547049667,-0.704015446976192,0.48142408707747053
stateTX,-0.06159692810993047,2.204035521968572,-0.027947339095022443,0.977704183778742
stateUT,1.0162615143700895,2.221811476828604,0.4574022256022789,0.6473825305857284
stateVA,-1.0279033218826734,2.210603703695564,-0.4649876050439443,0.6419409092413644
stateVT,0.6802615802612404,2.3158376818263133,0.2937432038521686,0.7689544849886781
stateWA,-2.573639427253722,2.2302085250007644,-1.1539904894107784,0.24850563793629216
stateWI,-1.5306095183594461,2.2047695910000566,-0.694226519001099,0.48754108234223203
stateWV,-0.542270926177546,3.2691635887414683,-0.16587451544029475,0.8682558942450681
stateWY,0.444174846866598,3.5109706526874245,0.1265105552866443,0.899327939046404
my2012,-0.15510919384059338,0.40738776467020515,-0.3807409237392286,0.703395959542856
my2013,2.3935716066789365,0.41766685120657515,5.730815361009085,1.0011177063252967e-8
my2014,2.64426236240435,0.4741258690411075,5.5771315911368005,2.4487513708637337e-8
my2015,2.634195896521649,0.4693787328446586,5.612090434002341,2.0019697563395494e-8
my2016,1.5702550921967753,0.4665948017083457,3.3653505920931672,7.646281324034137e-4
my2017,0.47086711952706783,0.4713327419563481,0.9990121152471869,0.3177901983594394
my2018,-0.6331634846999146,0.4865436967551667,-1.3013496812775036,0.19314049552484092
my2019,-1.00391019597315,0.5157981208417393,-1.946323872477187,0.0516174397683005
my2020,0.11665119812705779,0.5919547935827272,0.1970609907912765,0.8437800376152906
age_years:cents_per_mile,-0.05894633576587855,0.0203137244114971,-2.9017985363883487,0.0037107313803458703
age_years:range_typelow,-4.177460560425912,0.909796294184984,-4.591643851625243,4.400725555188003e-6
age_years:range_typemid,-3.6040409722095976,1.2296416208584189,-2.9309685936733327,0.0033795045331468077
age_years:range,0.008549331222671422,0.0013380784848777455,6.389259912098906,1.6710545121310284e-10
range_typelow:range,-0.1533842850590526,0.04953280583151271,-3.0966201587851443,0.0019577132292374778
range_typemid:range,-0.07863602856775963,0.028738024317914404,-2.736306006907383,0.006213945841767623
age_years:modelfortwo,-1.996275764081358,0.26442133214216024,-7.549601796152002,4.386841808283049e-14
age_years:modelspark,-0.7090614970566473,0.18026676288945195,-3.93340117552051,8.378442525289104e-5
age_years:modelfocus,-0.42695292709097554,0.15272294856880486,-2.795604269640095,0.005180840901361644
age_years:modeli3,0.29878128893808387,0.08178478949709081,3.6532623092306413,2.5900472584621865e-4
age_years:modele-golf,-0.8494064069230585,0.1672331259511512,-5.079175564601777,3.794628826825273e-7
age_years:model500e,-1.4399673736979683,0.15188049204020365,-9.48092381289363,2.5502026923162335e-21
age_years:modelsoul,-1.5508542208495575,0.288835570059302,-5.369332525530513,7.912850778065888e-8
age_years:modelbolt ev,-5.672021884244072,0.29347863092517573,-19.326865013521854,3.896531279300022e-83
age_years:modelmodel 3,1.0556845749628556,0.29172851760026997,3.6187225837460555,2.9614383006725214e-4
age_years:modelmodel s,0.5380926303771216,0.24415792084680712,2.203871283433557,0.027534689825202133
age_years:range_typelow:range,0.05458957271196834,0.010173732465464023,5.365736999403052,8.072101149140769e-8
age_years:range_typemid:range,0.03267560355502216,0.008616213270424035,3.792339224840714,1.4928477212194002e-4
