term,estimate,std.error,statistic,p.value
(Intercept),7.475794014412045,6.260998322342456,1.194025877268578,0.23247440948942968
age_years,12.734741192930993,0.9923985273017636,12.832285460515076,1.267099987772752e-37
cents_per_mile,-0.7636679534717687,0.38474652282417027,-1.984859922491791,0.0471663800908526
modelescape,47.84363617214729,3.843563988934796,12.447727242185621,1.6559719279079778e-35
modelhighlander,-3.4783908581047513,1.6407393734638225,-2.120014253550458,0.034010534447943115
modelrav4,4.057678106258293,2.470995467380622,1.6421228447495426,0.10057183505162866
modelrx,-3.1307125923265353,1.6530871495325372,-1.8938581630205302,0.05825052082990701
modelx5,-6.757891868663127,2.969202660822859,-2.2759954912576776,0.022851157196150197
modelxv crosstrek,-4.627131982471149,2.087977511811775,-2.216083246249192,0.026690998203049952
stateAL,11.746968091951976,2.815630931814771,4.172055349733159,3.024542587392628e-5
stateAR,10.330349571447892,2.9454414107383307,3.5072330869614525,4.532523986402117e-4
stateAZ,9.477480909916256,2.5314739641323953,3.7438587337651903,1.8145070439009515e-4
stateCA,12.639775666870431,2.5345759965664336,4.9869389136460764,6.158104214809979e-7
stateCO,8.92181405832674,2.531778244841922,3.523931875354193,4.2563329350719866e-4
stateCT,11.641145055932848,2.56275847888966,4.54242768166608,5.576046618136436e-6
stateDC,20.16373035949356,20.16781345600559,0.9997975439171461,0.31741410103773116
stateDE,7.383452988882202,3.0567189047820764,2.4154831434879984,0.015718477128381928
stateFL,8.424805654151863,2.5248972215720067,3.3366925125398015,8.485325309448848e-4
stateGA,10.497918476617231,2.5578758146820504,4.104154868019715,4.065407297096117e-5
stateHI,-0.40640312745683116,3.0405531203744274,-0.1336609200258882,0.8936713324095529
stateIA,15.35053805883098,2.7234404337036358,5.636450817452108,1.74671588995642e-8
stateID,9.179791903181105,2.7748936309323304,3.3081599239884403,9.398795183201751e-4
stateIL,8.457547167213153,2.5286840777125996,3.344643659426089,8.245850870970524e-4
stateIN,13.382134620990966,2.6050911985436236,5.136915985310706,2.8049672364288125e-7
stateKS,12.246944094030956,2.7869685098115755,4.394360413802796,1.1136402537427082e-5
stateKY,14.518174165979906,2.727495920794931,5.322894914449064,1.0263785914980666e-7
stateLA,7.541634507706715,3.0402613860265606,2.480587538416616,0.013120387908403528
stateMA,9.020675147136215,2.5156330340280566,3.5858469916386095,3.363567770914977e-4
stateMD,9.28005144729598,2.5208997519982383,3.681245729799439,2.323798528795833e-4
stateME,12.597498266415109,2.834123408674184,4.44493638768831,8.813668448815165e-6
stateMI,13.107764295470034,2.6052592483529957,5.0312706129942955,4.891926147656261e-7
stateMN,11.059988756989585,2.5713652686151383,4.301212625052749,1.7023884089679923e-5
stateMO,14.35944007918814,2.6374865536750187,5.444365226878596,5.227335329191362e-8
stateMS,16.643046055422793,3.6856486058954174,4.5156356004208424,6.329402861147241e-6
stateMT,7.243161355970794,3.1191074564909047,2.322190388438743,0.02022731540385106
stateNC,12.374912784528638,2.551847813127557,4.84939294611064,1.2427047755028248e-6
stateND,12.981497046300897,3.7445355273915126,3.466784318466317,5.272368682280172e-4
stateNE,10.360521004497336,2.753544652262439,3.7626123099128446,1.6837008075402406e-4
stateNH,13.362382001304008,2.693487284483769,4.960996875047445,7.039853785674131e-7
stateNJ,10.835005651043932,2.514003527667005,4.309860957553554,1.637185665630203e-5
stateNM,7.406785835813919,2.8359038782438666,2.6117901571475586,0.009010070078945985
stateNV,8.084077141954477,2.608317796335054,3.099345161587829,0.0019407362948619612
stateNY,7.666302891848131,2.4993872920043465,3.067272893790003,0.0021615524317044102
stateOH,12.937863690837576,2.554756251001918,5.064226258674829,4.1174786319389267e-7
stateOK,13.449311383771764,2.7736302431130855,4.848992188907069,1.2452163497043863e-6
stateOR,9.410896698463134,2.5187016854196953,3.7364078298518235,1.8690823502840557e-4
statePA,8.586709372339632,2.5037407412350623,3.42955212211945,6.05143390955168e-4
